aio:K-nearest_Neighbor_Algorithm	K-nearest Neighbor Algorithm	skos:closeMatch	aio:K-nearest_Neighbor_Regression_Algorithm	K-nearest Neighbor Regression Algorithm	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasExactSynonym	knn
aio:K-nearest_Neighbor_Algorithm	K-nearest Neighbor Algorithm	skos:closeMatch	cso:k-nn	k-nn	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	rdfs:label	k-nn
aio:K-nearest_Neighbor_Algorithm	K-nearest Neighbor Algorithm	skos:closeMatch	cso:knn	knn	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	rdfs:label	knn
aio:K-nearest_Neighbor_Classification_Algorithm	K-nearest Neighbor Classification Algorithm	skos:closeMatch	aio:K-nearest_Neighbor_Regression_Algorithm	K-nearest Neighbor Regression Algorithm	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasExactSynonym	k-nn
aio:K-nearest_Neighbor_Classification_Algorithm	K-nearest Neighbor Classification Algorithm	skos:closeMatch	aio:K-nearest_Neighbor_Regression_Algorithm	K-nearest Neighbor Regression Algorithm	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasExactSynonym	knn
aio:K-nearest_Neighbor_Classification_Algorithm	K-nearest Neighbor Classification Algorithm	skos:closeMatch	cso:k-nn	k-nn	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	rdfs:label	k-nn
aio:K-nearest_Neighbor_Classification_Algorithm	K-nearest Neighbor Classification Algorithm	skos:closeMatch	cso:knn	knn	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	rdfs:label	knn
aio:K-nearest_Neighbor_Regression_Algorithm	K-nearest Neighbor Regression Algorithm	skos:closeMatch	cso:k-nn	k-nn	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	rdfs:label	k-nn
aio:K-nearest_Neighbor_Regression_Algorithm	K-nearest Neighbor Regression Algorithm	skos:closeMatch	cso:knn	knn	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	rdfs:label	knn
aio:KN	Kohonen Network	skos:closeMatch	cso:self-organizing_feature_map	self-organizing feature map	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	rdfs:label	self-organizing feature map
aio:KN	Kohonen Network	skos:closeMatch	cso:self-organizing_map	self-organizing map	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	rdfs:label	self-organizing map
aio:KN	Kohonen Network	skos:closeMatch	cso:som	som	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	rdfs:label	som
aio:LSTM	Long Short Term Memory	skos:closeMatch	cso:lstm	lstm	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	rdfs:label	lstm
aio:Least-squares_Analysis	Least-squares Analysis	skos:closeMatch	cso:least-squares_analysis	least-squares analysis	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	least-squares analysis
aio:Logistic_Regression	Logistic Regression	skos:closeMatch	cso:logistic_regression	logistic regression	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	logistic regression
aio:MC	Markov Chain	skos:closeMatch	cso:markov_chain	markov chain	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	markov chain
aio:MC	Markov Chain	skos:closeMatch	cso:markov_process	markov process	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	rdfs:label	markov process
aio:Machine_Learning	Machine Learning	skos:closeMatch	cso:machine_learning	machine learning	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	machine learning
aio:Manifold_Learning	Manifold Learning	skos:closeMatch	cso:manifold_learning	manifold learning	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	manifold learning
aio:Multiclass_Classification	Multiclass Classification	skos:closeMatch	cso:multiclass_classification	multiclass classification	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	multiclass classification
aio:N2V_CBOW	node2vec-CBOW	skos:closeMatch	aio:W2V_CBOW	word2vec-CBOW	semapv:LexicalMatching	oaklib	0.5	oio:hasRelatedSynonym	oio:hasRelatedSynonym	cbow
aio:N2V_SkipGram	node2vec-SkipGram	skos:closeMatch	aio:W2V_SkipGram	word2vec-SkipGram	semapv:LexicalMatching	oaklib	0.5	oio:hasRelatedSynonym	oio:hasRelatedSynonym	skipgram
aio:Natural_Language_Processing	Natural Language Processing	skos:closeMatch	cso:natural_language_processing	natural language processing	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	natural language processing
aio:Natural_Language_Processing	Natural Language Processing	skos:closeMatch	cso:nlp	nlp	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	rdfs:label	nlp
aio:Output_Layer	Output Layer	skos:closeMatch	cso:output_layer	output layer	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	output layer
aio:Probabilistic_Graphical_Model	Probabilistic Graphical Model	skos:closeMatch	cso:graphical_model	graphical model	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	rdfs:label	graphical model
aio:Proportional_Hazards_Model	Proportional Hazards Model	skos:closeMatch	cso:proportional_hazards_model	proportional hazards model	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	proportional hazards model
aio:Random_Forest	Random Forest	skos:closeMatch	cso:random_forest	random forest	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	random forest
aio:RecNN	Recurrent Neural Network	skos:closeMatch	cso:recurrent_neural_network	recurrent neural network	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	recurrent neural network
